year,uf_name,born_alive,uf,age_group,pop,region_code,region_name,birth_rate
2009,Piauí,50996,22,Total,1557265,2,Nordeste,32.747156071702634
2009,Rio Grande do Norte,48931,24,Total,1567418,2,Nordeste,31.21758203618945
2009,Rio Grande do Sul,133652,43,Total,5302245,4,Sul,25.20668132083674
2009,Rio de Janeiro,216625,33,Total,7717780,3,Suldeste,28.068304616094267
2009,Rondônia,26083,11,Total,806701,1,Norte,32.332921367396345
2009,Roraima,9673,14,Total,226829,1,Norte,42.64445904183327
2009,Santa Catarina,83489,42,Total,3112712,4,Sul,26.821948191801877
2009,Sergipe,35109,28,Total,1013948,2,Nordeste,34.626036049185956
2009,São Paulo,598473,35,Total,20401082,3,Suldeste,29.33535584044023
2009,Tocantins,24911,17,Total,707996,1,Norte,35.185227035180986
2010,Acre,16495,12,Total,384406,1,Norte,42.91036040020187
2010,Alagoas,54164,27,Total,1549231,2,Nordeste,34.961861723655154
2010,Amapá,15008,16,Total,347935,1,Norte,43.13449351171914
2010,Amazonas,74188,13,Total,1789736,1,Norte,41.4519236356647
2010,Bahia,212201,29,Total,7022591,2,Nordeste,30.21690996955397
2010,Ceará,128831,23,Total,4204905,2,Nordeste,30.63826650067005
2010,Distrito Federal,44251,53,Total,1265715,5,Centro-Oeste,34.96126695188095
2010,Espírito Santo,51853,32,Total,1772936,3,Suldeste,29.246966613572063
2010,Goiás,87476,52,Total,3035871,5,Centro-Oeste,28.814136042012326
2010,Maranhão,119566,21,Total,3329311,2,Nordeste,35.91313638167176
2010,Mato Grosso,48929,51,Total,1586508,5,Centro-Oeste,30.8406891109279
2010,Mato Grosso do Sul,40132,50,Total,1243373,5,Centro-Oeste,32.2767182494714
2010,Minas Gerais,255125,31,Total,9828254,3,Suldeste,25.958323828423644
2010,Paraná,152051,41,Total,5238772,4,Sul,29.024168259279083
2010,Paraíba,58699,25,Total,1861223,2,Nordeste,31.537865156405225
2010,Pará,140687,15,Total,3915560,1,Norte,35.93023730960578
2010,Pernambuco,136591,26,Total,4332527,2,Nordeste,31.52686642229812
2010,Piauí,49424,22,Total,1565436,2,Nordeste,31.57203488357237
2010,Rio Grande do Norte,47668,24,Total,1584137,2,Nordeste,30.09083179043227
2010,Rio Grande do Sul,133243,43,Total,5317544,4,Sul,25.057244472260127
2010,Rio de Janeiro,215262,33,Total,7785937,3,Suldeste,27.64753940341413
